AÑO;LOCAL_VISITA;EQUIPO;VICTORIAS;DERROTAS;EMPATES;LOCAL_GOL;LOCAL_GOL_HT;LOCAL_AMARILLA;LOCAL_ROJA;LOCAL_TIRO_ARCO
2011;Local;Fulham;9;4;5;33;13;31;1;171
2011;Visita;Fulham;3;8;9;22;9;29;0;154
2011;Local;Liverpool;11;1;8;36;17;28;0;175
2011;Visita;Liverpool;9;8;2;21;8;30;3;137
2011;Local;Man City;17;0;1;49;20;19;1;175
2011;Visita;Man City;7;6;5;23;10;29;3;132
2011;Local;Man United;16;2;1;52;23;23;2;206
2011;Visita;Man United;11;4;5;17;11;31;0;127
2011;Local;Newcastle;7;3;8;33;16;27;1;144
2011;Visita;Newcastle;6;7;7;27;10;25;1;128
2011;Local;Norwich;4;3;3;17;7;13;1;70
2011;Visita;Norwich;1;4;4;19;6;12;1;96
2011;Local;QPR;1;4;4;8;4;12;2;55
2011;Visita;QPR;3;6;1;18;9;17;0;90
2011;Local;Stoke;10;3;6;33;14;32;0;98
2011;Visita;Stoke;3;13;3;37;21;13;1;138
2011;Local;Sunderland;4;9;5;27;16;27;2;128
2011;Visita;Sunderland;6;9;3;25;10;27;1;148
2011;Local;Swansea;4;1;5;12;4;14;0;62
2011;Visita;Swansea;0;6;3;19;7;13;1;86
2011;Local;Tottenham;10;1;6;31;16;18;0;183
2011;Visita;Tottenham;9;6;5;25;12;32;1;156
2011;Local;West Brom;6;7;6;25;14;25;1;149
2011;Visita;West Brom;6;7;5;35;21;23;1;132
2011;Local;West Ham;3;5;1;12;7;8;0;78
2011;Visita;West Ham;1;5;3;22;12;9;0;91
2011;Local;Wigan;4;7;7;21;8;35;1;140
2011;Visita;Wigan;4;10;6;36;13;30;0;170
2011;Local;Wolves;7;7;4;29;14;29;0;131
2011;Visita;Wolves;3;12;5;38;20;28;2;184
2012;Local;Arsenal;10;4;4;48;22;29;0;169
2012;Visita;Arsenal;9;5;6;20;11;36;1;121
2012;Local;Aston Villa;3;8;9;17;6;28;2;125
2012;Visita;Aston Villa;3;10;6;39;15;16;1;172
2012;Local;Blackburn;4;5;1;14;6;14;1;76
2012;Visita;Blackburn;1;7;1;23;13;7;0;73
2012;Local;Bolton;3;3;3;12;7;12;0;63
2012;Visita;Bolton;3;5;2;20;4;6;0;80
2012;Local;Chelsea;11;2;5;40;19;19;2;177
2012;Visita;Chelsea;8;6;6;25;8;32;0;153
2012;Local;Everton;12;3;5;36;18;29;0;158
2012;Visita;Everton;5;4;12;28;11;30;3;134
2012;Local;Fulham;11;5;4;39;16;16;1;169
2012;Visita;Fulham;4;11;4;36;21;20;2;174
2012;Local;Liverpool;6;7;6;24;10;18;1;178
2012;Visita;Liverpool;6;10;4;33;17;32;1;117
2012;Local;Man City;16;1;3;49;16;24;1;210
2012;Visita;Man City;10;5;5;16;4;32;0;104
2012;Local;Man United;17;1;1;50;21;23;0;203
2012;Visita;Man United;13;5;2;26;10;36;4;142
2012;Local;Newcastle;12;5;3;29;13;36;0;149
2012;Visita;Newcastle;4;11;4;45;18;21;0;170
2012;Local;Norwich;8;6;5;24;13;26;1;138
2012;Visita;Norwich;5;9;6;36;20;16;3;159
2012;Local;QPR;7;8;5;24;10;28;5;165
2012;Visita;QPR;0;15;4;40;19;22;0;194
2012;Local;Reading;2;3;5;15;5;13;0;44
2012;Visita;Reading;0;8;2;18;4;10;0;104
2012;Local;Southampton;3;4;3;14;4;11;0;66
2012;Visita;Southampton;1;6;2;24;12;9;1;78
2012;Local;Stoke;8;2;9;25;12;22;2;101
2012;Visita;Stoke;2;9;9;24;10;21;0;168
2012;Local;Sunderland;8;6;6;24;9;26;0;123
2012;Visita;Sunderland;4;9;7;32;12;18;3;192
2012;Local;Swansea;7;5;7;32;16;26;2;162
2012;Visita;Swansea;8;9;3;23;11;29;0;165
2012;Local;Tottenham;12;4;5;36;14;20;1;235
2012;Visita;Tottenham;7;8;4;28;9;27;1;122
2012;Local;West Brom;11;7;2;30;12;24;0;161
2012;Visita;West Brom;6;9;5;33;14;21;0;178
2012;Local;West Ham;4;3;3;17;8;12;1;74
2012;Visita;West Ham;2;5;2;11;6;15;1;90
2012;Local;Wigan;6;8;6;26;12;29;0;144
2012;Visita;Wigan;7;11;1;31;9;32;0;166
2012;Local;Wolves;0;9;1;6;3;12;3;52
2012;Visita;Wolves;1;4;4;20;14;9;2;86
2013;Local;Arsenal;12;2;5;38;13;22;2;155
2013;Visita;Arsenal;13;4;2;18;9;28;1;87
2013;Local;Aston Villa;5;11;3;22;6;38;1;99
2013;Visita;Aston Villa;6;5;7;28;15;28;1;108
2013;Local;Cardiff;3;4;3;10;2;14;0;30
2013;Visita;Cardiff;1;5;3;15;8;9;0;51
2013;Local;Chelsea;16;1;3;41;23;25;0;180
2013;Visita;Chelsea;7;6;5;23;8;38;2;101
2013;Local;Crystal Palace;3;5;1;7;4;7;0;34
2013;Visita;Crystal Palace;2;8;0;15;8;15;0;46
2013;Local;Everton;13;1;5;35;18;32;2;155
2013;Visita;Everton;5;5;8;19;9;27;1;104
2013;Local;Fulham;5;11;2;22;11;24;2;112
2013;Visita;Fulham;6;10;3;32;11;20;0;156
2013;Local;Hull;5;2;3;15;7;14;1;39
2013;Visita;Hull;1;6;2;17;9;15;0;44
2013;Local;Liverpool;13;2;3;44;24;20;0;187
2013;Visita;Liverpool;7;6;6;28;15;39;3;119
2013;Local;Man City;17;1;1;57;26;31;0;146
2013;Visita;Man City;7;7;4;24;6;24;2;78
2013;Local;Man United;11;5;2;28;17;22;1;112
2013;Visita;Man United;11;2;6;23;11;34;0;114
2013;Local;Newcastle;9;7;3;29;13;27;2;117
2013;Visita;Newcastle;7;8;3;26;12;18;0;106
2013;Local;Norwich;6;5;8;22;6;34;0;95
2013;Visita;Norwich;3;12;3;40;19;22;2;127
2013;Local;QPR;1;4;4;5;2;11;1;46
2013;Visita;QPR;2;5;2;15;9;13;1;93
2013;Local;Reading;2;4;3;8;2;8;1;41
2013;Visita;Reading;2;7;0;22;7;11;0;108
2013;Local;Southampton;7;4;7;28;16;24;2;124
2013;Visita;Southampton;5;7;8;23;12;21;0;94
2013;Local;Stoke;6;6;6;17;5;38;1;66
2013;Visita;Stoke;2;13;4;36;10;25;1;136
2013;Local;Sunderland;4;8;6;19;9;26;2;86
