AÑO,EQUIPO_LOCAL,VICTORIAS,DERROTAS,EMPATES,LOCAL_GOL,LOCAL_GOL_HT,LOCAL_AMARILLA,LOCAL_ROJA,LOCAL_TIRO_ARCO
2012,Reading,2,3,5,15,5,13,0,44
2012,Southampton,3,4,3,14,4,11,0,66
2012,Stoke,8,2,9,25,12,22,2,101
2012,Sunderland,8,6,6,24,9,26,0,123
2012,Swansea,7,5,7,32,16,26,2,162
2012,Tottenham,12,4,5,36,14,20,1,235
2012,West Brom,11,7,2,30,12,24,0,161
2012,West Ham,4,3,3,17,8,12,1,74
2012,Wigan,6,8,6,26,12,29,0,144
2012,Wolves,0,9,1,6,3,12,3,52
2013,Arsenal,12,2,5,38,13,22,2,155
2013,Aston Villa,5,11,3,22,6,38,1,99
2013,Cardiff,3,4,3,10,2,14,0,30
2013,Chelsea,16,1,3,41,23,25,0,180
2013,Crystal Palace,3,5,1,7,4,7,0,34
2013,Everton,13,1,5,35,18,32,2,155
2013,Fulham,5,11,2,22,11,24,2,112
2013,Hull,5,2,3,15,7,14,1,39
2013,Liverpool,13,2,3,44,24,20,0,187
2013,Man City,17,1,1,57,26,31,0,146
2013,Man United,11,5,2,28,17,22,1,112
2013,Newcastle,9,7,3,29,13,27,2,117
2013,Norwich,6,5,8,22,6,34,0,95
2013,QPR,1,4,4,5,2,11,1,46
2013,Reading,2,4,3,8,2,8,1,41
2013,Southampton,7,4,7,28,16,24,2,124
2013,Stoke,6,6,6,17,5,38,1,66
2013,Sunderland,4,8,6,19,9,26,2,86
2013,Swansea,5,6,7,27,5,23,0,106
2013,Tottenham,10,4,5,26,10,31,1,153
2013,West Brom,4,8,6,27,9,27,1,97
2013,West Ham,7,6,6,29,12,27,1,111
2013,Wigan,2,4,3,13,7,15,0,65
2014,Arsenal,12,1,6,38,11,26,1,127
2014,Aston Villa,6,7,5,22,17,31,3,62
2014,Burnley,2,4,4,7,3,20,0,28
2014,Cardiff,2,5,2,10,4,11,0,44
2014,Chelsea,15,1,2,43,20,18,0,139
2014,Crystal Palace,7,8,4,21,6,26,2,77
2014,Everton,10,5,3,35,16,22,0,91
2014,Fulham,3,5,2,13,3,18,0,48
2014,Hull,3,11,4,13,9,23,3,62
2014,Leicester,1,4,4,12,6,11,1,37
2014,Liverpool,12,3,5,41,22,20,2,127
2014,Man City,13,2,3,42,18,37,1,115
2014,Man United,13,5,2,40,18,32,2,108
2014,Newcastle,8,8,2,19,4,32,1,92
2014,Norwich,3,3,3,7,2,12,1,38
2014,QPR,5,2,3,17,7,17,1,52
2014,Southampton,10,5,5,38,17,23,1,102
2014,Stoke,10,6,3,28,14,34,1,79
2014,Sunderland,4,8,8,21,13,49,1,73
